0Calories ,1Fats (gm),2Proteins(g),3Iron(mg),4Calcium(mg),5Sodium(mg),6Potassium(mg),7Carbohydrates (gm),8Fibre (gm),9Vitamin D (mcg),10Sugars (gm)
238,19.6,3.97,2.1,38.6,10.48,484.2,16.09,3.93,0,6.81
266,13.7,4.1,1.1,48.3,9.5,120.2,31.4,3.1,0,2.1
216,3.2,4.8,2,148.7,15.7,196.5,42.1,5.1,0,1
525,37,33,3,122,347,450,12,4,0,4
40,1,2,1,16,6,145,10,2,0,6
212,8.2,5.5,0.8,13.5,5.6,182.7,29,2.2,0,2
207,13.7,4.1,1.7,45,102,204,8,2,0,1.5
377,10,12,0.4,11,481,352,45.4,11.5,0,1
198,5.2,4.3,1.3,55.5,60.2,172.4,33.3,1.9,0,1.2
19.8,0.2,1.9,0.5,21.1,14.7,192,4,2,0,1.9
392,13,14,5,154,865,906,55,14,0,2
470,24,21,1.6,150,870,200,43,6,0,4
92,1,1,3.9,72,26,206,20,2,0,14
360,17,44,3,93.4,417.6,1014,5.7,1.8,0,2.5
112,7.7,1.4,0.4,20.7,5,201,9.4,0.3,0,1
43,4.3,0.1,0.1,4,0.3,10.9,1,0.1,0,2
538,29,38,27,795,629,2990,39,9,0,7
60,3,3,1,112,339,178,6,1,0,4
160,8,2,0.3,0,330,410,20,2,0,0.5
231,7.3,4,0.7,21.3,10.1,94,37.3,3.3,0,4
7,0,0.1,0.1,5.8,1.3,15.8,1.5,0.2,0,2.4
100,5.5,2.4,0.8,18,8,93.9,10.4,2,0,1.2
440,32.6,7.7,2.3,221,578,135,37.7,2.9,0,0.3
173,14,5,2,107,623,355,9,4,0,3
100,2,2,1,61,29,202,20,1,0,18
64,0,4,1.3,11,1,2,11,3,0,2
91,6,1.4,0.5,13.1,5.5,71.7,7.9,1.6,0,0.2
148.22,4.41,8.03,1.4,121.1,321.7,97.56,19.06,1,0,1.24
100,0.4,5.5,1.7,43.8,10.8,320.4,18.8,3.3,0,0.4
55.7,0.2,2.7,7,4.6,199.1,285.3,12.4,4,0,1.8
357,26.5,2,0.1,19.5,0.5,51,28.4,0.3,0,1.3
130,2.3,7.2,1.3,60.7,14.9,408.9,19.9,4.3,0,1.4
273.4,21.4,9.5,3.4,245.4,584.6,595.9,14.9,3,0,9.1
409,13,11,7,58,19,531,64,8,0,2
1217,72.84,20.82,5.79,323.17,36.7,503.79,123.32,0.4,1.38,36.05
505,27,4,5,46,21,456,65,1,0,58
7,0.7,0.1,0,2.2,1.7,1.1,0.2,0.1,0,6
228.41,13.48,16.97,2.7,65.4,132.28,455.72,9.67,3.28,0,3.41
204,12,5,2,97,339,253,21,6,0,7
112,9.2,1.1,0.6,39,7.1,151.9,6.1,2.5,0,5
90,2,3,0,73,25,0,17,1,0,13
78,0.4,0.2,0.1,2.2,74.3,31.7,18.5,0.3,0,1
311,15.6,8,3.1,107.6,477.7,309.5,33.8,11.8,0,6.3
91.1,3.2,4.5,0.9,13,32.3,61,11.9,1.6,0,2.1
75,1.5,1.5,0.6,11.8,3.2,59.5,14.4,1.7,0,1.4
71,2.67,1.8,0.4,50.7,563.2,354,11.31,3.9,0,5.7
144,4,4,1.6,15.7,6.6,102.9,24.4,4,0,1.25
31,2.2,0.6,0.3,14.4,3.8,48.2,2.1,0.6,0,0.6
122,3,2.3,0.6,22,164,5.49,21.7,1.7,0,0.4
273,1.5,2.2,4.8,51.7,96,756.9,62.4,2.6,0,6
115,5.2,3.3,1.1,10.8,8.6,100,14.3,2.8,0,1.29
29,2.3,0.5,0.2,6.7,2.8,27.3,1.5,0.7,0,0.56
315,20.6,7.3,2,40.1,27.4,256.9,25.1,5.9,0,1.51
192,13.8,6.7,0.4,244.5,7.1,102.5,9.2,0.7,0,2.13
106,3,5,1,61,189,62,15,1,0,1
358.6,21.8,27.4,5.9,115.7,600.1,1079,15.6,4.8,0,6.4
617,26.8,12.8,0.1,4.2,482.3,17.9,81.1,0.2,1,2
222,9.7,8.3,2.3,45.5,32.8,337,25.4,6.4,0,0.9
178,8,11,1.6,185,234,363,16,3,0,3
100,5,2,1,32,37,457,13,4,0,4
326,96,11,2.92,75.37,318.72,301.77,44,8,0,7
61,0.4,23.3,1,13.7,6.7,83.2,12.7,2.2,0,5
207,18,7.3,1.5,62,6.8,89.4,4,0.9,0,7
480,13,23,6,335,312,1294,69,13,0,18
150,3.5,2,0,68,105,137,27,0,0,21
34.2,0.1,0.7,0.17,6,95,154,12,1,0,4
376,11,15,0.4,8,629,159,50,3,0,1
401,26,6,1,12,1218,465,38,5,0,5
29,0.1,0.3,1.2,7.2,166,234,6.4,0,0,6
32,11,2,1,13.2,12.1,218,12,0.8,0,5.7
190,4,29,1.23,32,410,0,12,1,0,9
345.6,11.8,3.6,1.45,20,308.2,121,57,0.8,0,41.1
121.49,9.13,6.37,0.93,207.63,2.07,60.18,3.32,0.89,0,11.2
350,24.7,22,2.6,99,1513,1001,12.1,2.8,0,4
290,16.5,5.4,1.4,58.4,7.3,146.2,30,4.2,0,8.41
